2023-12-19 17:12:382 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 17:12:839 INFO  ManageBrowser :46 - Send Admin to username field : [[ChromeDriver: chrome on windows (5fe93299a4e523919683071747b1046e)] -> xpath: //input[@placeholder='Username']]
2023-12-19 17:12:925 INFO  ManageBrowser :51 - Send admin123 to password field : [[ChromeDriver: chrome on windows (5fe93299a4e523919683071747b1046e)] -> xpath: //input[@placeholder='Password']]
2023-12-19 17:12:983 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (5fe93299a4e523919683071747b1046e)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 17:12:991 INFO  ManageBrowser :28 - Getting text from : [[ChromeDriver: chrome on windows (5fe93299a4e523919683071747b1046e)] -> xpath: //h6[normalize-space()='Dashboard']]
2023-12-19 17:12:250 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 17:12:912 INFO  ManageBrowser :46 - Send Admin to username field : [[ChromeDriver: chrome on windows (3fe41613f13fcdb9a4fa461633f52815)] -> xpath: //input[@placeholder='Username']]
2023-12-19 17:12:998 INFO  ManageBrowser :51 - Send admin123 to password field : [[ChromeDriver: chrome on windows (3fe41613f13fcdb9a4fa461633f52815)] -> xpath: //input[@placeholder='Password']]
2023-12-19 17:12:58 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (3fe41613f13fcdb9a4fa461633f52815)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 17:12:28 INFO  ManageBrowser :41 - Verifying orangeHRM Logo from : [[ChromeDriver: chrome on windows (3fe41613f13fcdb9a4fa461633f52815)] -> xpath: //img[@alt='client brand banner']]
2023-12-19 17:12:107 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 17:12:559 INFO  ManageBrowser :46 - Send Admin to username field : [[ChromeDriver: chrome on windows (7bc800533e7ba5b55e5d534623fdce67)] -> xpath: //input[@placeholder='Username']]
2023-12-19 17:12:644 INFO  ManageBrowser :51 - Send admin123 to password field : [[ChromeDriver: chrome on windows (7bc800533e7ba5b55e5d534623fdce67)] -> xpath: //input[@placeholder='Password']]
2023-12-19 17:12:697 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (7bc800533e7ba5b55e5d534623fdce67)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 17:12:694 INFO  ManageBrowser :34 - Clicking on user profile logo : [[ChromeDriver: chrome on windows (7bc800533e7ba5b55e5d534623fdce67)] -> xpath: //img[@class='oxd-userdropdown-img']]
2023-12-19 17:12:380 INFO  ManageBrowser :39 - Clicking on logout link : [[ChromeDriver: chrome on windows (7bc800533e7ba5b55e5d534623fdce67)] -> xpath: //a[normalize-space()='Logout']]
2023-12-19 17:12:418 INFO  ManageBrowser :60 - Verify text for login panel : Proxy element for: DefaultElementLocator 'By.xpath: //h5[normalize-space()='Login']'
2023-12-19 17:12:695 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-19 17:12:345 INFO  ManageBrowser :46 - Send  to username field : [[ChromeDriver: chrome on windows (e6f8fe0023e8369ccd441202ca196ae2)] -> xpath: //input[@placeholder='Username']]
2023-12-19 17:12:409 INFO  ManageBrowser :51 - Send  to password field : [[ChromeDriver: chrome on windows (e6f8fe0023e8369ccd441202ca196ae2)] -> xpath: //input[@placeholder='Password']]
2023-12-19 17:12:461 INFO  ManageBrowser :56 - Clicking on Login button : [[ChromeDriver: chrome on windows (e6f8fe0023e8369ccd441202ca196ae2)] -> xpath: //button[normalize-space()='Login']]
2023-12-19 17:12:485 INFO  ManageBrowser :65 - Getting username field blank error message : [[ChromeDriver: chrome on windows (e6f8fe0023e8369ccd441202ca196ae2)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2023-12-19 17:12:718 INFO  ManageBrowser :33 - Chrome Browser Launch .....
